path_idx,W_final,improvement,sl_improvement
632,455.5065,514.5558,-128.1332
633,512.2911,541.0599,-21.914
634,520.9748,545.0348,-117.0048
635,658.1183,708.1996,0.0
636,90.53,123.0054,-81.9532
637,124.0397,144.9227,-101.1123
638,-37.3613,176.5283,-363.6151
639,307.8837,462.9387,-483.5475
640,256.5895,264.7498,-11.3036
641,308.2812,368.7663,-62.0347
642,16.944,21.0459,63.0884
643,192.3424,200.4092,-0.6358
644,162.2841,175.7448,-48.9585
645,245.8001,253.7269,-4.6004
646,133.1581,165.14,-139.5227
647,565.005,750.2863,-265.8437
648,84.9789,189.8205,-244.2999
649,432.8787,476.4119,-42.1898
650,28.1384,31.3037,73.2164
651,130.1453,147.4321,-91.3014
652,1112.0865,1429.0359,0.0
653,88.2174,90.7882,63.1926
654,233.7543,371.8618,-253.9473
655,460.3479,492.6682,0.0
656,73.998,103.596,-36.6205
657,536.0123,612.2855,-254.5039
658,-17.4091,64.4476,-394.2073
659,1715.7697,1835.2361,0.0
660,228.1744,268.6321,-7.3634
661,2381.9721,2839.2619,0.0
662,180.3614,228.3183,-193.9044
663,129.6742,132.8927,42.7536
664,283.7844,297.2369,2.0158
665,452.2451,491.8835,-31.248
666,613.3315,714.39,-319.2563
667,1567.8617,1602.1386,0.0
668,235.1976,273.1983,-10.9649
669,415.4267,443.2958,-91.6636
670,567.8735,617.7706,-98.5279
671,446.9269,495.3154,-190.7581
672,325.32,369.3088,-61.3026
673,262.838,350.6829,-370.9857
674,-84.972,50.2203,-228.8089
675,-38.3579,10.6403,-121.6617
676,106.8531,112.0748,47.439
677,100.1695,164.2803,-252.0474
678,388.4325,414.024,-62.0458
679,431.6244,599.2115,0.0
680,3089.2979,3621.4606,-1228.3688
681,146.5918,219.6834,-174.5506
682,262.4667,292.2207,-24.1784
683,-39.9775,91.6037,-333.714
684,-172.3097,317.4866,-758.7773
685,102.7399,115.438,-54.1738
686,708.479,755.9441,0.0
687,318.1866,384.1245,-150.9943
688,36.9835,126.3974,-347.9047
689,164.9325,182.7713,-17.3433
690,624.8294,808.318,-262.8456
691,278.6463,299.9719,-72.1828
692,957.4069,1007.6033,0.0
693,100.5319,109.5992,44.501
694,191.5615,206.6737,-60.2205
695,46.7781,48.0216,39.3015
696,101.713,184.7591,-253.3812
697,-125.7919,1811.6504,-1268.7353
698,77.7946,126.7936,-207.0863
699,390.0003,409.2009,-23.438
700,3083.7397,3709.0548,0.0
701,2428.98,3213.499,0.0
702,533.2942,566.2013,-28.427
703,513.8808,545.9596,-51.4634
704,1222.2979,1323.1913,0.0
705,230.3081,242.6484,-23.1325
706,434.6563,450.7154,-7.8458
707,1401.5526,1528.7737,0.0
708,978.567,1107.843,-126.5417
709,289.5794,315.8567,-23.161
710,296.8705,342.2041,0.0
711,235.4963,278.1455,-49.7408
712,-208.6465,-17.1849,-94.4467
713,57.6923,71.1285,1.8639
714,75.2998,80.8791,33.3479
715,56.0524,85.9266,-94.2124
716,155.3589,288.2237,-200.9576
717,562.9941,585.2423,0.0
718,-3589.2739,-2109.5384,0.0
719,119.4487,121.8353,68.5957
720,49.5923,159.2582,-105.3256
721,259.0063,410.2001,0.0
722,266.5554,298.6696,-130.0864
723,375.3281,411.1908,-181.244
724,144.0654,166.5573,-120.7479
725,-11.6996,204.524,-212.745
726,2149.3651,2287.7106,0.0
727,158.8904,186.9251,-48.2805
728,244.2087,367.844,0.0
729,624.1336,702.1529,0.0
730,147.7198,265.2095,-497.3238
731,236.6693,304.6706,-210.4894
