day,S,H,Flr,W,Pi,V,breach,depth,K_L,K_S1,T_L_rem,T_S1_rem,tS,tL,roll_count,breach_days,depth_sum,event
49,207.00418339026095,207.00418339026095,121.5188366780522,-55.64410401365757,7.715284417072142,159.07536379367554,0,0.0,207.37309414128018,60.0885,25,118,49,9,2,0,0.0,
50,211.61678518146624,211.61678518146624,122.44135703629327,-55.64410401365757,7.477307928457565,163.44998909626625,0,0.0,207.37309414128018,60.0885,24,117,50,10,2,0,0.0,
51,209.21234275864634,211.61678518146624,122.44135703629327,-55.64410401365757,7.293706149162669,160.86194489415143,0,0.0,207.37309414128018,60.0885,23,116,51,11,2,0,0.0,
52,209.86753411510625,211.61678518146624,122.44135703629327,-55.64410401365757,7.085773249304346,161.30920335075302,0,0.0,207.37309414128018,60.0885,22,115,52,12,2,0,0.0,
53,209.33834311674318,211.61678518146624,122.44135703629327,-55.64410401365757,6.890444968163674,160.58468407124928,0,0.0,207.37309414128018,60.0885,21,114,53,13,2,0,0.0,
54,207.58677462890617,211.61678518146624,122.44135703629327,-55.64410401365757,6.710639878025017,158.6533104932736,0,0.0,207.37309414128018,60.0885,20,113,54,14,2,0,0.0,
55,220.5913098293793,220.5913098293793,124.23626196587587,-55.64410401365757,4.823088964716739,169.77029478043846,0,0.0,207.37309414128018,60.0885,19,112,55,15,2,0,0.0,
56,232.29019272928312,232.29019272928312,126.57603854585665,-55.64410401365757,2.528940546653028,179.17502926227857,0,0.0,207.37309414128018,60.0885,18,111,56,16,2,0,0.0,
57,225.69164125547982,232.29019272928312,126.57603854585665,-55.64410401365757,3.255550075941516,173.30308731776378,0,0.0,207.37309414128018,60.0885,17,110,57,17,2,0,0.0,
58,231.2909177792033,232.29019272928312,126.57603854585665,-55.64410401365757,2.66260722999745,178.3094209955432,0,0.0,207.37309414128018,60.0885,16,109,58,18,2,0,0.0,
59,245.56022932000988,245.56022932000988,129.230045864002,-55.64410401365757,1.075052839737673,190.99117814609,0,0.0,207.37309414128018,60.0885,15,108,59,19,2,0,0.0,
60,237.2568851412826,245.56022932000988,129.230045864002,-90.43549392770706,34.18388414878778,181.0052753623633,0,0.0,272.84541791247494,60.0885,34,107,60,0,3,0,0.0,ROLL_L
61,234.1968500376755,245.56022932000988,129.230045864002,-90.43549392770706,37.19389098856378,180.9552470985322,0,0.0,272.84541791247494,60.0885,33,106,61,1,3,0,0.0,
62,225.9874538854159,245.56022932000988,129.230045864002,-90.43549392770706,45.28709377416481,180.83905373187366,0,0.0,272.84541791247494,60.0885,32,105,62,2,3,0,0.0,
63,224.05708917207062,245.56022932000988,129.230045864002,-90.43549392770706,47.1971702880684,180.81876553243197,0,0.0,272.84541791247494,60.0885,31,104,63,3,3,0,0.0,
64,224.37430928481058,245.56022932000988,129.230045864002,-90.43549392770706,46.89991285008618,180.83872820718972,0,0.0,272.84541791247494,60.0885,30,103,64,4,3,0,0.0,
65,219.52239747036762,245.56022932000988,129.230045864002,-90.43549392770706,51.65040290312993,180.7373064457905,0,0.0,272.84541791247494,60.0885,29,102,65,5,3,0,0.0,
66,197.5029740300487,245.56022932000988,129.230045864002,-90.43549392770706,73.33416916955278,180.40164927189443,0,0.0,272.84541791247494,60.0885,28,101,66,6,3,0,0.0,
